battery_capacity_mah_,price,Url,battery_indicator_LED,battery_indicator_Digital Display,battery_indicator_Other,min_quantity,max_quantity
200.0,6.66,https://www.alibaba.com/product-detail/TWS-Wireless-Earbuds-New-Design-From_10000030355349.html?priceId=1a90954a7fb9475f98c831b5ec0145be,1,0,0,,
200.0,2.58,https://www.alibaba.com/product-detail/TWS-Wireless-Earbuds-New-Design-with_10000030349386.html?priceId=1a90954a7fb9475f98c831b5ec0145be,1,0,0,,
200.0,3.42,https://www.alibaba.com/product-detail/New-Design-TWS-Wireless-Earbuds-with_10000030336468.html?priceId=1a90954a7fb9475f98c831b5ec0145be,1,0,0,,
200.0,2.69,https://www.alibaba.com/product-detail/TWS-Wireless-Earbuds-with-Screen-Display_10000030313586.html?priceId=1a90954a7fb9475f98c831b5ec0145be,1,0,0,,
200.0,3.84,https://www.alibaba.com/product-detail/TWS-OWS-New-Wireless-Sports-Earphones_10000030308693.html?priceId=1a90954a7fb9475f98c831b5ec0145be,1,0,0,,
200.0,2.79,https://www.alibaba.com/product-detail/TWS-OWS-New-Wireless-Sports-Earphones_10000030307714.html?priceId=1a90954a7fb9475f98c831b5ec0145be,1,0,0,,
200.0,3.42,https://www.alibaba.com/product-detail/2025-New-Waterproof-TWS-Sports-Earbuds_10000030306664.html?priceId=1a90954a7fb9475f98c831b5ec0145be,1,0,0,,
200.0,3.42,https://www.alibaba.com/product-detail/2025-New-OEM-ODM-TWS-Wireless_10000030271183.html?priceId=1a90954a7fb9475f98c831b5ec0145be,1,0,0,,
200.0,7.5,https://www.alibaba.com/product-detail/YX35-ENC-ANC-Wireless-Earbuds-Best_10000028801535.html?priceId=1a90954a7fb9475f98c831b5ec0145be,1,0,0,,
200.0,2.58,https://www.alibaba.com/product-detail/OEM-ODM-TWS-OWS-Wireless-Sports_10000028318450.html?priceId=1a90954a7fb9475f98c831b5ec0145be,1,0,0,,
200.0,4.88,https://www.alibaba.com/product-detail/OEM-ODM-TWS-OEM-Wireless-Sports_10000028315458.html?priceId=1a90954a7fb9475f98c831b5ec0145be,1,0,0,,
200.0,2.15,https://www.alibaba.com/product-detail/Mini-TWS-Earphones-with-HD-Stereo_10000027112132.html?priceId=1a90954a7fb9475f98c831b5ec0145be,1,0,0,,
400.0,8.95,https://www.alibaba.com/product-detail/TWS-Earphones-Auriculares-HIFI-Stereo-TWS_10000025387672.html?priceId=1a90954a7fb9475f98c831b5ec0145be,0,1,0,,
200.0,3.03,https://www.alibaba.com/product-detail/Factory-Original-TWS-Earbuds-with-LED_10000024869008.html?priceId=1a90954a7fb9475f98c831b5ec0145be,1,0,0,,
200.0,6.07,https://www.alibaba.com/product-detail/China-Factory-s-TWS-Wireless-Earbuds_10000024866040.html?priceId=1a90954a7fb9475f98c831b5ec0145be,1,0,0,,
200.0,2.85,https://www.alibaba.com/product-detail/Premium-LED-TWS-Earbuds-OEM-Custom_10000024864091.html?priceId=1a90954a7fb9475f98c831b5ec0145be,1,0,0,,
200.0,3.4,https://www.alibaba.com/product-detail/TWS-Wireless-Earbuds-In-Ear-ANC_1601712499060.html?priceId=9124209b4c8b47a7a358f870b5229a49,0,1,0,,
200.0,4.38,https://www.alibaba.com/product-detail/TWS-for-5-3-In-Ear_1601717658387.html?priceId=9124209b4c8b47a7a358f870b5229a49,0,1,0,,
500.0,1.3,https://www.alibaba.com/product-detail/M10-TWS-Wireless-In-Ear-Earbuds_1601514887658.html?priceId=9124209b4c8b47a7a358f870b5229a49,1,0,0,,
200.0,1.3,https://www.alibaba.com/product-detail/2026-NEW-TWS-Headphones-Air31-Wireless_1601051593073.html?selectedCarrierCode=SEMI_MANAGED_STANDARD%40%40STANDARD&priceId=9124209b4c8b47a7a358f870b5229a49,0,1,0,,
150.0,1.99,https://www.alibaba.com/product-detail/Air31-TWS-Wireless-Earphones-LED-Power_1601516681104.html?selectedCarrierCode=SEMI_MANAGED_STANDARD%40%40STANDARD&priceId=9124209b4c8b47a7a358f870b5229a49,0,1,0,,
180.0,2.2,https://www.alibaba.com/product-detail/Best-Promotion-Low-Price-TWS-Earbuds_1601414899562.html?priceId=9124209b4c8b47a7a358f870b5229a49,1,0,0,,
500.0,3.65,https://www.alibaba.com/product-detail/OEM-S20-TWS-Wireless-Earbuds-5_1601611764749.html?priceId=9124209b4c8b47a7a358f870b5229a49,1,0,0,,
150.0,2.7,https://www.alibaba.com/product-detail/Shenzhen-TWS-5-3-Air40-Wireless_1601123168522.html?priceId=9124209b4c8b47a7a358f870b5229a49,1,0,0,,
300.0,1.6,https://www.alibaba.com/product-detail/Bluetooth-Earphones-5-3-Led-Display_1601241396818.html?selectedCarrierCode=SEMI_MANAGED_STANDARD%40%40STANDARD&priceId=9124209b4c8b47a7a358f870b5229a49,0,1,0,,
400.0,4.93,https://www.alibaba.com/product-detail/A11-Pro-TWS-Wireless-Earbuds-Touch_1601433700032.html?priceId=9124209b4c8b47a7a358f870b5229a49,0,1,0,,
200.0,2.7,https://www.alibaba.com/product-detail/2024-Original-A6s-Tws-Wireless-Ecouteur_1600492240839.html?selectedCarrierCode=SEMI_MANAGED_STANDARD%40%40STANDARD&priceId=9124209b4c8b47a7a358f870b5229a49,1,0,0,,
200.0,5.49,https://www.alibaba.com/product-detail/Original-Lenovo-ThinkPlus-GM2-Pro-5_1601650694263.html?priceId=9124209b4c8b47a7a358f870b5229a49,1,0,0,,
400.0,5.15,https://www.alibaba.com/product-detail/Customizable-LOGO-noise-reduction-Air-BT_1601238252219.html?priceId=9124209b4c8b47a7a358f870b5229a49,0,1,0,,
200.0,6.7,https://www.alibaba.com/product-detail/Stereo-TWS-Earphone-Mini-Portable-Earbuds_1600694914079.html?priceId=9124209b4c8b47a7a358f870b5229a49,1,0,0,,
350.0,6.59,https://www.alibaba.com/product-detail/High-Quality-Y40-ENC-Wireless-Earbuds_1601170942471.html?priceId=9124209b4c8b47a7a358f870b5229a49,0,1,0,,
200.0,12.0,https://www.alibaba.com/product-detail/US-EU-Fast-Shipping-Wholesale-Price_1601671747144.html?priceId=9124209b4c8b47a7a358f870b5229a49,0,1,0,,
400.0,5.8,https://www.alibaba.com/product-detail/Air-TWS-Wireless-Earbuds-Max-Touch_1601630541478.html?priceId=9124209b4c8b47a7a358f870b5229a49,0,1,0,,
200.0,1.47,https://www.alibaba.com/product-detail/Hot-Sale-Low-Price-Cheap-Wireless_1601376673227.html?selectedCarrierCode=SEMI_MANAGED_STANDARD%40%40STANDARD&priceId=9124209b4c8b47a7a358f870b5229a49,1,0,0,,
200.0,3.1,https://www.alibaba.com/product-detail/Low-Price-Factory-OEM-ODM-2026_1601676512859.html?priceId=9124209b4c8b47a7a358f870b5229a49,1,0,0,,
200.0,1.45,https://www.alibaba.com/product-detail/2024-Hot-Pro6-Mini-TWS-Wireless_1601383307100.html?selectedCarrierCode=SEMI_MANAGED_STANDARD%40%40STANDARD&priceId=9124209b4c8b47a7a358f870b5229a49,0,1,0,,
200.0,3.75,https://www.alibaba.com/product-detail/Non-Noise-Cancelling-TWS-Mini-Earphones_1601404032084.html?priceId=9124209b4c8b47a7a358f870b5229a49,1,0,0,,
200.0,16.8,https://www.alibaba.com/product-detail/High-quality-wireless-earbuds-Tws-waterproof_1601718519397.html?priceId=9124209b4c8b47a7a358f870b5229a49,1,0,0,,
500.0,10.0,https://www.alibaba.com/product-detail/Wireless-Touch-Quietcomfort-Earbuds-Original-Tws_1601006113744.html?priceId=9124209b4c8b47a7a358f870b5229a49,1,0,0,,
200.0,1.4,https://www.alibaba.com/product-detail/Pro5S-Semi-In-Ear-TWS-Earbuds_1601612700033.html?selectedCarrierCode=SEMI_MANAGED_STANDARD%40%40STANDARD&priceId=9124209b4c8b47a7a358f870b5229a49,1,0,0,,
180.0,4.51,https://www.alibaba.com/product-detail/New-Low-Price-E6S-TWS-Wireless_10000025161457.html?priceId=9124209b4c8b47a7a358f870b5229a49,1,0,0,,
300.0,6.49,https://www.alibaba.com/product-detail/LX-10-Active-Noise-Cancelling-True_1601490208604.html?selectedCarrierCode=SEMI_MANAGED_STANDARD%40%40STANDARD&priceId=9124209b4c8b47a7a358f870b5229a49,0,1,0,,
200.0,3.15,https://www.alibaba.com/product-detail/OEM-Custom-TWS-for-Bluetooth-5_1601463792435.html?priceId=9124209b4c8b47a7a358f870b5229a49,0,1,0,,
400.0,9.66,https://www.alibaba.com/product-detail/Fashion-V8-Pro-in-Ear-Tws_1601250835511.html?priceId=9124209b4c8b47a7a358f870b5229a49,0,1,0,,
200.0,2.19,https://www.alibaba.com/product-detail/Cheap-Wireless-S20-Sports-Audionic-Bass_1601561620997.html?priceId=9124209b4c8b47a7a358f870b5229a49,0,1,0,,
200.0,6.8,https://www.alibaba.com/product-detail/Cross-border-31-Wireless-Sports-TWS_1601615839376.html?priceId=9124209b4c8b47a7a358f870b5229a49,1,0,0,,
200.0,1.52,https://www.alibaba.com/product-detail/F9-TWS-5C-In-Ear-LED_1600499470335.html?selectedCarrierCode=SEMI_MANAGED_STANDARD%40%40STANDARD&priceId=9124209b4c8b47a7a358f870b5229a49,0,1,0,,
2000.0,4.0,https://www.alibaba.com/product-detail/2025-Hot-Sale-Wireless-Earphones-F9_1601668332538.html?priceId=9124209b4c8b47a7a358f870b5229a49,0,1,0,,
300.0,1.6,https://www.alibaba.com/product-detail/Earbuds-Wireless-895B-S510-TWS-In_1601670155012.html?priceId=9124209b4c8b47a7a358f870b5229a49,0,1,0,,
200.0,2.83,https://www.alibaba.com/product-detail/2025-New-Wireless-Gaming-Headsets-Low_1601393428601.html?selectedCarrierCode=SEMI_MANAGED_STANDARD%40%40STANDARD&priceId=9124209b4c8b47a7a358f870b5229a49,1,0,0,,
150.0,1.39,https://www.alibaba.com/product-detail/A6S-Good-Quality-Cheap-Price-TWS_1601286096531.html?selectedCarrierCode=SEMI_MANAGED_STANDARD%40%40STANDARD&priceId=9124209b4c8b47a7a358f870b5229a49,1,0,0,,
30.0,4.43,https://www.alibaba.com/product-detail/Outdoor-Waterproof-OEM-ODM-Sport-TWS_1601606158416.html?priceId=9124209b4c8b47a7a358f870b5229a49,1,0,0,,
20.0,3.8,https://www.alibaba.com/product-detail/TWS-Wireless-Sport-Air-Buds-Custom_1601057272793.html?priceId=9124209b4c8b47a7a358f870b5229a49,1,0,0,,
200.0,3.56,https://www.alibaba.com/product-detail/Best-Seller-Low-Price-Factory-TWS_11000029913001.html?priceId=9124209b4c8b47a7a358f870b5229a49,1,0,0,,
200.0,5.88,https://www.alibaba.com/product-detail/Open-Ear-Wireless-TWS-Earbuds-with_1601707878982.html?priceId=9124209b4c8b47a7a358f870b5229a49,1,0,0,,
200.0,6.2,https://www.alibaba.com/product-detail/Ai-Real-Time-Two-Way-Translator_1601719801671.html?priceId=9124209b4c8b47a7a358f870b5229a49,0,1,0,,
110.0,0.95,https://www.alibaba.com/product-detail/Hot-Selling-G01-Ear-TWS-Earbuds_1601216519880.html?selectedCarrierCode=SEMI_MANAGED_STANDARD%40%40STANDARD&priceId=9124209b4c8b47a7a358f870b5229a49,1,0,0,,
300.0,3.65,https://www.alibaba.com/product-detail/True-Wireless-TWS-Earbuds-with-BT5_1601665073027.html?priceId=9124209b4c8b47a7a358f870b5229a49,0,1,0,,
200.0,4.88,https://www.alibaba.com/product-detail/TWS-Earbuds-Bluetooth-5-4with-All_1601719726494.html?priceId=7fbe94727603496f935f2d28b85b7a5e,1,0,0,,
200.0,5.5,https://www.alibaba.com/product-detail/TWS-for-5-4-In-Ear_1601719630924.html?priceId=7fbe94727603496f935f2d28b85b7a5e,1,0,0,,
200.0,5.0,https://www.alibaba.com/product-detail/TWS-Earbuds-Bluetooth-5-4with-LCD_1601719622873.html?priceId=7fbe94727603496f935f2d28b85b7a5e,1,0,0,,
200.0,3.3,https://www.alibaba.com/product-detail/2026-New-Q78-BT-Earphones-In_1601719425771.html?priceId=7fbe94727603496f935f2d28b85b7a5e,0,1,0,,
200.0,5.0,https://www.alibaba.com/product-detail/2026-NEW-S27-TWS-Earbuds-Bluetooth_1601719229415.html?priceId=7fbe94727603496f935f2d28b85b7a5e,0,1,0,,
200.0,5.0,https://www.alibaba.com/product-detail/TWS-Bluetooth-5-3-Earbuds-with_1601719179516.html?priceId=7fbe94727603496f935f2d28b85b7a5e,0,1,0,,
200.0,5.0,https://www.alibaba.com/product-detail/2026-New-S27-TWS-Earbuds-Bluetooth_1601718818402.html?priceId=7fbe94727603496f935f2d28b85b7a5e,0,1,0,,
200.0,1.6,https://www.alibaba.com/product-detail/2024-Hot-Sale-M10-TWS-Wireless_1601718074249.html?priceId=7fbe94727603496f935f2d28b85b7a5e,1,0,0,,
200.0,4.19,https://www.alibaba.com/product-detail/Semi-In-Ear-TWS-Wireless-Earbuds_1601718031746.html?priceId=7fbe94727603496f935f2d28b85b7a5e,1,0,0,,
200.0,9.0,https://www.alibaba.com/product-detail/TWS-In-Ear-Wireless-Gaming-Headphones_1601717929014.html?priceId=7fbe94727603496f935f2d28b85b7a5e,0,1,0,,
200.0,5.0,https://www.alibaba.com/product-detail/S23-TWS-Bluetooth-5-4-Earbuds_1601717863946.html?priceId=7fbe94727603496f935f2d28b85b7a5e,1,0,0,,
180.0,2.1,https://www.alibaba.com/product-detail/Retro-Camera-B40-TWS-In-Ear_1601717754565.html?priceId=7fbe94727603496f935f2d28b85b7a5e,1,0,0,,
200.0,4.68,https://www.alibaba.com/product-detail/TWS-Bluetooth-5-3-Earbuds-True_1601717697149.html?priceId=7fbe94727603496f935f2d28b85b7a5e,1,0,0,,
200.0,13.5,https://www.alibaba.com/product-detail/TWS-Earbuds-with-Real-Time-144_1601716697624.html?priceId=7fbe94727603496f935f2d28b85b7a5e,1,0,0,,
