product_id,battery_capacity_mah_,headphone_form_factor,waterproof_standard,brand_name,volume_control,battery_charging_time,battery_indicator,charging_interface_type,chipset,codecs,control_method,game_atmosphere_light,material,private_mold,sound_quality,wireless_delay_time,product_name,charging_time
1601714500067,200-500mah,,IPX-7,OEM,,1-3 hours,LED,TYPE-C,Bluetrum,AAC,Touch Control,No Light,ABS,Yes,Stereo,51-60 ms,,
1601714451207,40mAh/500mAh,Semi-in-ear,Life-level,,Yes,,Digital Display,,JL,,,,,Yes,,,,about 1 h
1601714389439,200-500mah,Semi-in-ear,IPX-4,OEM,Yes,1-3 hours,Digital Display,Type-C,JL,"AAC, APT-X, Sbc",,,Plastic,Yes,"Surround Sound, High Fidelity (Hi-Fi), Stereo",above 60 ms,TWS Earbuds,
1601714063098,200-500mah,Semi-in-ear,IPX-4,OEM,Yes,1-3 hours,Digital Display,Type-C,JL,"AAC, APT-X, Sbc",,,Plastic,Yes,"Surround Sound, High Fidelity (Hi-Fi), Stereo",above 60 ms,TWS Earbuds,
1601713986937,200mAh,Semi-in-ear,IPX-5,Lonvel,Yes,1-3 hours,LED,TYPE-C,,AAC,Touch Control,No Light,ABS,Yes,High Fidelity (Hi-Fi),less than 30 ms,,
1601713765141,200mAh,Semi-in-ear,IPX-3,kingstar,,,LED,,,,,,,Yes,,,,About 1 hours
1601713634980,300mah,,IPX 0,KINGSTAR,,,LED,,JL,,,,ABS,,,,Kingstar transparent tws earbuds,2 hours
1601623701660,200-500mah,Semi-in-ear,IPX-4,OEM,Yes,1-3 hours,LED,Type-C,JL,"AAC, APT-X, Sbc",,,Plastic,Yes,"Stereo, Surround Sound, High Fidelity (Hi-Fi)",30 Ms,Wireless Charging TWS,
1600695317545,300,Semi-in-ear,IPX-5,Langsdom,,,LED,,Blurtrum,,,,ABS,Yes,,31-40 ms,bluetooth earphone,1 Hours
1601019361256,500mAh,,IPX-5,,,,Digital Display,,JL,,,,ABS,No,,,,about 1h
1601425372266,398,Semi-in-ear,IPX-6,,Yes,1-3 hours,LED,Type-C,headset,,,,headset,Yes,,30 Ms,TWS Earbuds,
