product_id,battery_capacity_mah_,headphone_form_factor,waterproof_standard,brand_name,volume_control,battery_indicator,charging_interface_type,chipset,codecs,game_atmosphere_light,material,private_mold,product_name,sound_quality,charging_time,control_method,wireless_delay_time,battery_charging_time
11000016529320,300MAH,,IPX-5,OEM,,Digital Display,DC5V Type C input,"JL6983, BT5.3",,,ABS,No,,,,,,
11000015936991,480MAH,In ear,IPX-5,OEM,,Digital Display,,"JL7003D8,  BT5.3",,,ABS,Yes,TWS Earbuds,,,,,
11000013875232,200-500mah,In ear,IPX-5,,Yes,Digital Display,Type-C,,"AAC, Sbc",,Plastic,Yes,J5 ENC TWS Bluetooth Earbuds,"High Fidelity (Hi-Fi), Bass Boost, Surround Sound, Stereo",,Touch Control,,
11000013822157,200-500mah,In ear,IPX-5,,Yes,Digital Display,Type-C,,"AAC, Sbc",,"Plastic, ABS",Yes,J8Pro ANC+ENC TWS Bluetooth Earbuds,"High Fidelity (Hi-Fi), Stereo, Surround Sound, Bass Boost",,Touch Control,,
11000007976518,200-500mah,,IPX-1,Glorystar,,LED,Type-C,JL,AAC,RGB,Plastic,Yes,,Stereo,1 hour,Touch Control,,
11000006823092,,,IPX-5,blueear,,LED,,Others,AAC,NO,,Yes,TWS earphone,,"40mins, Support to connect with 2 mobile phones",,,
11000006813395,,,IPX-5,blueear,,LED,,Others,AAC,NO,,Yes,TWS earphone,,"40mins, Support to connect with 2 mobile phones",,,
11000006791953,25mah,,IPX-5,KO-STAR,,,Type-C,JL,,,,Yes,,,1Hours,Touch Control,,
11000003249565,,,IPX-4,,touch,LED,Supporting  fast  charger,JL,,,ABS+PC,Yes,,,,,,
11000002728730,200-500mah,,IPX-5,,,LED,,JL,,Multicolor,ABS Plastic,Private Mold,,,1.5 Hours,,41-50 ms,
10000038595524,200-500mah,,IPX-4,,,,,,,Multicolor,,,,,,,,
10000038312858,200-500mah,In ear,IPX-5,OEM,Yes,Digital Display,Type-C,JL,,Single Color,ABS,No,,High Fidelity (Hi-Fi),,App Control,less than 30 ms,1-3 hours
10000038277576,200-500mah,,IPX-5,OEM,,Digital Display,Type-C,JL,AAC,,ABS+SILICON,Yes,,,,,31-40 ms,1-3 hours
10000037648420,30*2+380mah,In ear,IPX-4,Guanersheng,Yes,LED,Type-C,JL6983D2,LHDC,No Light,Plastic,Yes,YX32,"Surround Sound, Stereo",1 Hour,Button Control,less than 30 ms,1-3 hours
10000037637400,200-500mah,,IPX-5,,,LED,,,None,No Light,,Yes,,,,,41-50 ms,
10000035457756,300mAh+35mAh+35mAh,,IPX-4,JH,,LED,Wireless Charging,JL,,No Light,ABS+PVC,Yes,,,,,41-50 ms,1-3 hours
10000035143062,<200mah,Ear-hook,IPX-5,Jinghang,Yes,,Type-C,JL,LHDC,,"PVC, ABS",Yes,In Ear Noise Cancelling Earphone,,1-2 Hours,App Control,less than 30 ms,1-3 hours
10000035104982,<200mah,Ear-hook,IPX-5,Jinghang,Yes,,Type-C,JL,LHDC,,"PVC, ABS",Yes,In Ear Noise Cancelling Earphone,,1-2 Hours,App Control,less than 30 ms,1-3 hours
10000033501026,300/40mah,In ear,IPX-5,XINTU,Yes,LED,Type-C,Bluetrum,AAC,No Light,ABS,Yes,JM19 ANC TWS earbuds,Bass Boost,1 Hour,Touch Control,31-40 ms,1-3 hours
